CODIGO;DISTRITO;DEPARTAMENTO;MUNICIPIO;ESTABLECIMIENTO;DIRECCION;TELEFONO;SUPERVISOR;DIRECTOR;NIVEL;SECTOR;AREA;STATUS;MODALIDAD;JORNADA;PLAN;DEPARTAMENTAL
15-01-0050-46;15-001;BAJA VERAPAZ;SALAMA;ESCUELA NORMAL RURAL NO.4 DR. ELIZARDO URIZAR LEAL;13 AVENIDA 7-41 ZONA 2 BARRIO HACIENDA DE LA VIRGEN;79400455;ELIAS SANTIAGO GARCIA REYES;ELGI WALTER BOTEO GARCÍA;DIVERSIFICADO;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);BAJA VERAPAZ
15-01-0051-46;15-001;BAJA VERAPAZ;SALAMA;COLEGIO PARTICULAR MIXTO TEZULUTLAN;"DIAGONAL 4; 1-24 ZONA 2";79400182;ELIAS SANTIAGO GARCIA REYES;ELIA NIVEA LÓPEZ DE SAGASTUME;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);BAJA VERAPAZ
15-01-0052-46;15-001;BAJA VERAPAZ;SALAMA;LICEO MIXTO 'SAN MATEO';9A. AVENIDA 6-67 ZONA 1;79401926;ELIAS SANTIAGO GARCIA REYES;;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);BAJA VERAPAZ
15-01-0087-46;15-001;BAJA VERAPAZ;SALAMA;INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA;"13 AVENIDA 7-41; ZONA 2; BARRIO HACIENDA DE LA VIRGEN";79400455;ELIAS SANTIAGO GARCIA REYES;ELGI WALTER BOTEO GARCÍA;DIVERSIFICADO;OFICIAL;URBANA;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);BAJA VERAPAZ
15-01-0099-46;15-001;BAJA VERAPAZ;SALAMA;"COLEGIO PARTICULAR MIXTO ""TEZULUTLAN""";"DIAGONAL 4; 1-24 ZONA 2";79400182;ELIAS SANTIAGO GARCIA REYES;ELIA NIVEA LOPEZ GARCIIA;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;NOCTURNA;DIARIO(REGULAR);BAJA VERAPAZ
15-01-0102-46;15-001;BAJA VERAPAZ;SALAMA;COLEGIO PARTICULAR MIXTO DE INFANTES EMANUEL;"5A. AVENIDA 6-35; ZONA 1; BARRIO AGUA CALIENTE";79540899;ELIAS SANTIAGO GARCIA REYES;MARIA CONCEPCION MORALES ENRIQUEZ DE AGUILAR;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;DOBLE;FIN DE SEMANA;BAJA VERAPAZ
15-01-0109-46;15-001;BAJA VERAPAZ;SALAMA;CENTRO ESTUDIANTIL MIGUEL ÁNGEL ASTURIAS;"RUTA 4; ZONA 5; DEL BARRIO SANTA ELENA";56913283;ELIAS SANTIAGO GARCIA REYES;JORGE EMILIO SOTO LÓPEZ;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;DOBLE;FIN DE SEMANA;BAJA VERAPAZ
15-01-0110-46;15-001;BAJA VERAPAZ;SALAMA;CENTRO ESTUDIALTIL MIGUEL ÁNGEL ASTURIAS;"RUTA 4; ZONA 5 BARRIO SANTA ELENA";56913283;ELIAS SANTIAGO GARCIA REYES;JORGE EMILIO SOTO LÓPEZ;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;DOBLE;FIN DE SEMANA;BAJA VERAPAZ
15-01-0111-46;15-001;BAJA VERAPAZ;SALAMA;COLEGIO PARTICULAR MIXTO CIENCIA Y DESARROLLO;"RUTA 4; 12-68 ZONA 5; BARRIO SANTA ELENA";79540830-79540909;ELIAS SANTIAGO GARCIA REYES;VICTOR GERARDO RODAS CARDONA;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;DOBLE;DIARIO(REGULAR);BAJA VERAPAZ
15-01-0112-46;15-001;BAJA VERAPAZ;SALAMA;COLEGIO PARTICULAR MIXTO CIENCIA Y DESARROLLO;"RUTA 4; 12-68 ZONA 5; BARRIO SANTA ELENA";79540830-79540909;ELIAS SANTIAGO GARCIA REYES;VICTOR GERARDO RODAS CARDONA;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);BAJA VERAPAZ
