CODIGO;DISTRITO;DEPARTAMENTO;MUNICIPIO;ESTABLECIMIENTO;DIRECCION;TELEFONO;SUPERVISOR;DIRECTOR;NIVEL;SECTOR;AREA;STATUS;MODALIDAD;JORNADA;PLAN;DEPARTAMENTAL
05-01-0110-46;05-033;ESCUINTLA;ESCUINTLA;ESCUELA NACIONAL DE CIENCIAS COMERCIALES ADS. AL INEB SIMON BERGAÑO Y VILLEGAS;1A AVE. SUR 10-30 ZONA 1;78880048;REMY ARTURO SINAY GUDIEL;;DIVERSIFICADO;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0116-46;05-033;ESCUINTLA;ESCUINTLA;COLEGIO 'PEDAGOGICO ESCUINTLECO CIENCIA Y ARTE';5A AVE. 10-87 ZONA 1;78892455;REMY ARTURO SINAY GUDIEL;;DIVERSIFICADO;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0117-46;05-033;ESCUINTLA;ESCUINTLA;LICEO MIXTO NOCTURNO IZCUINTLAN;5A AVE. 6-61 ZONA 1;;REMY ARTURO SINAY GUDIEL;;DIVERSIFICADO;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;NOCTURNA;DIARIO(REGULAR);ESCUINTLA
05-01-0119-46;05-033;ESCUINTLA;ESCUINTLA;CENTRO ESCOLAR NUESTRA SEÑORA DE CONCEPCION;KM. 59 CARRETERA A SANTA LUCIA COTZUMALGUAPA;78881194;REMY ARTURO SINAY GUDIEL;TOMASA ZACARÍAS DOMINGO;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0121-46;05-033;ESCUINTLA;ESCUINTLA;INSTITUTO TECNICO EXPERIMENTAL DEL SUR;1A. CALLE 2-38 ZONA 3 ESCUINTLA;31651314;REMY ARTURO SINAY GUDIEL;JUAN ROMEO SUAREZ CHACON;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0123-46;05-033;ESCUINTLA;ESCUINTLA;INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA COLEGIO 'MINERVA';8A CALLE 2-54 ZONA 1;;REMY ARTURO SINAY GUDIEL;;DIVERSIFICADO;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;NOCTURNA;DIARIO(REGULAR);ESCUINTLA
05-01-0126-46;05-033;ESCUINTLA;ESCUINTLA;COLEGIO PARTICULAR MIXTO ESCUINTLECO BILINGUE;1A AVENIDA 6-60 ZONA 4;78890988;REMY ARTURO SINAY GUDIEL;OLGA ESTHER LEAL DESTOUET DE GONZALEZ;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0127-46;05-033;ESCUINTLA;ESCUINTLA;LICEO EVANGELICO TECNICO ESCUINTLECO;1A. AVENIDA 6-08 ZONA 4;78202058;REMY ARTURO SINAY GUDIEL;SILVIA HONESTINA HURTARTE DE CUEVAS;DIVERSIFICADO;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0129-46;05-033;ESCUINTLA;ESCUINTLA;LICEO JUVENIL CENTROAMERICANO;7A CALLE 3-02 ZONA 1;78880365;REMY ARTURO SINAY GUDIEL;;DIVERSIFICADO;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0131-46;05-033;ESCUINTLA;ESCUINTLA;CENTRO EDUCATIVO 'MIGUEL ANGEL ASTURIAS';5A AVE 6-61 ZONA 1;;REMY ARTURO SINAY GUDIEL;;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;NOCTURNA;DIARIO(REGULAR);ESCUINTLA
05-01-0144-46;05-033;ESCUINTLA;ESCUINTLA;CENTRO EDUCACIONAL GUATEMALTECO DEL SUR;3A. AV. 5-52 ZONA 1 ESCUINTLA,;78894544;REMY ARTURO SINAY GUDIEL;EDDY GABRIEL RAMÍREZ CHACÓN;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;DOBLE;FIN DE SEMANA;ESCUINTLA
05-01-0145-46;05-033;ESCUINTLA;ESCUINTLA;INSTITUTO NACIONAL DE PERITO EN MERCADOTECNIA Y PUBLICIDAD;4A. AVE. SUR 15-20 ZONA 4;78893272;REMY ARTURO SINAY GUDIEL;MARIELA FLORIBÉL MÉNDEZ MALDONADO;DIVERSIFICADO;OFICIAL;URBANA;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0146-46;05-033;ESCUINTLA;ESCUINTLA;ESCUELA NACIONAL MIXTA NOCTURNA DE CIENCIAS COMERCIALES;1A AVE. 10-30 ZONA 1;57171570;REMY ARTURO SINAY GUDIEL;LEONEL ARNULFO ORTEGA MORATAYA;DIVERSIFICADO;OFICIAL;URBANA;ABIERTA;MONOLINGUE;NOCTURNA;DIARIO(REGULAR);ESCUINTLA
05-01-0153-46;05-033;ESCUINTLA;ESCUINTLA;CENTRO EDUCATIVO MAYA;4A. AVENIDA 6-76 ZONA 1;41349750-54182377;REMY ARTURO SINAY GUDIEL;BYRON ESTUARDO GONZALEZ ENRIQUEZ;DIVERSIFICADO;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0184-46;05-033;ESCUINTLA;ESCUINTLA;INSTITUTO DE EDUCACION DIVERSIFICADA POR COOPERATIVA DE ENSEÑANZA;1ERA. AVENIDA 10-30 ZONA 1 COLONIA EL PROGRESO;78895918;REMY ARTURO SINAY GUDIEL;MARIA EUGENIA BARRERA BARREDA DE LOPEZ;DIVERSIFICADO;COOPERATIVA;URBANA;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0187-46;05-033;ESCUINTLA;ESCUINTLA;LICEO INTEGRAL DEL SUR DE ESCUINTLA;7A. CALLE 2-64, ZONA 3, BARRIO SAN MIGUEL;78893930;REMY ARTURO SINAY GUDIEL;LICDA. BLANCA ELENA ROLDAN TRABANINO DE PINEDA;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0207-46;05-033;ESCUINTLA;ESCUINTLA;LICEO EVANGELICO EL EDEN;6A CALLE 1-60 ZONA 3 BARRIO SANTA ANA;41086951;REMY ARTURO SINAY GUDIEL;SANDRA JUDITH COLLADO DE MORALES;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0226-46;05-033;ESCUINTLA;ESCUINTLA;CENTRO EDUCATIVO AGROFORESTAL EL BOSQUE;6TA. AVENIDA 1-60 ZONA 3 INTERIOR COLEGIO SANTA FAMILIA;51259060;REMY ARTURO SINAY GUDIEL;HILDA MARIBEL MACHUCA ALVAREZ;DIVERSIFICADO;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0231-46;05-033;ESCUINTLA;ESCUINTLA;COLEGIO INTERNACIONAL FUTURE LEARNING CENTER (FLC);5TA CALLE 3-33 ZONA 1;78739937;REMY ARTURO SINAY GUDIEL;JESSICA JEANNETTE SAGASTUME HICKS;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0253-46;05-033;ESCUINTLA;ESCUINTLA;INSTITUTO TECNICO CIENCIAS INDUSTRIALES;2DA. CALLE 3-28 ZONA 1;78898879;REMY ARTURO SINAY GUDIEL;MYRON USIEL LOAIZA GARCIA;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;DOBLE;DIARIO(REGULAR);ESCUINTLA
