CODIGO;DISTRITO;DEPARTAMENTO;MUNICIPIO;ESTABLECIMIENTO;DIRECCION;TELEFONO;SUPERVISOR;DIRECTOR;NIVEL;SECTOR;AREA;STATUS;MODALIDAD;JORNADA;PLAN;DEPARTAMENTAL
01-01-0018-46;01-307;GUATEMALA;GUATEMALA;LICEO ROMANO AMERICANO;6A. CALLE 2-12 ZONA 1;;NORMA ARACELY PALOMO FRANCO DE DIAZ;VICTOR MANUEL PORTILLO LEON;DIVERSIFICADO;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;MATUTINA;DIARIO(REGULAR);GUATEMALA NORTE
01-01-0022-46;01-627;GUATEMALA;GUATEMALA;LICEO ROMANO AMERICANO;6A. CALLE 2-12 ZONA 1;22533522;ISAURA AMPARO RECINOS CARRILLO;VICTOR MANUEL PORTILLO LEON;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;DOBLE;FIN DE SEMANA;GUATEMALA NORTE
01-01-0023-46;01-627;GUATEMALA;GUATEMALA;LICEO ROMANO AMERICANO;6A. CALLE 2-12 ZONA 1;22533522;ISAURA AMPARO RECINOS CARRILLO;VICTOR MANUEL PORTILLO LEON;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;DOBLE;FIN DE SEMANA;GUATEMALA NORTE
01-01-8208-46;;GUATEMALA;GUATEMALA;INSTITUTO AMERICANO EN CIENCIAS DE COMPUTACION (POR MADUREZ);6AV. 18-23 ZONA 1;22322912;;;DIVERSIFICADO;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;VESPERTINA;SABATINO;GUATEMALA NORTE
01-02-0010-46;01-502;GUATEMALA;SANTA CATARINA PINULA;"COLEGIO ""COUNTRY DAY SCHOOL""";KILOMETRO 18.5 CARRETERA EL SALVADOR ZONA 8 ALDEA EL CANCHON;66859300;JULIA ENECON ROCA MORAN;MAVELIN DINORA GARCIA BARRERA DE MORENO;DIVERSIFICADO;PRIVADO;RURAL;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);GUATEMALA ORIENTE
01-02-0012-46;01-502;GUATEMALA;SANTA CATARINA PINULA;LICEO INTEGRAL DE ENSEÑANZA COMERCIAL;"SECTOR LOS TRES REYES, LOTE 5""E"" ZONA 7 ALDEA EL PAJÓN";66373741;JULIA ENECON ROCA MORAN;JOSE ADOLFO ESPINOZA MORATAYA;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);GUATEMALA ORIENTE
01-02-0013-46;01-405;GUATEMALA;SANTA CATARINA PINULA;LICEO INTEGRAL DE ENSEÑANZA COMERCIAL;"SECTOR LOS TRES REYES, LOTE 5""E"" ZONA 7 ALDEA EL PAJÓN";66373741;SERGIO LEONEL CIFUENTES CIFUENTES;JOSE ADOLFO ESPINOZA MORATAYA;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;DOBLE;FIN DE SEMANA;GUATEMALA ORIENTE
01-02-0022-46;01-510;GUATEMALA;SANTA CATARINA PINULA;INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA;NUEVO SALON MUNICIPAL;23677485;ZOILA ESPERANZA CAMEY ATZ;BEDA LUZ FRANCO AMBROCIO;DIVERSIFICADO;OFICIAL;URBANA;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);GUATEMALA ORIENTE
01-02-0034-46;01-502;GUATEMALA;SANTA CATARINA PINULA;COLEGIO BILINGUE INTEGRIDAD (INTEGRITY);ALDEA DON JUSTO KILOMETRO 16.5 CARRETERA A SAN JOSE PINULA, CASERIO LA LAGUNETA,;66371400;JULIA ENECON ROCA MORAN;MARIA DEL CAARMEN BARRERA ARAGON DE DAVILA;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);GUATEMALA ORIENTE
01-02-0036-46;01-502;GUATEMALA;SANTA CATARINA PINULA;LICEO INTEGRAL DE ENSEÑANZA COMERCIAL -LIEC-;"SECTOR LOS TRES REYES, LOTE 5""E"" ZONA 7 ALDEA EL PAJÓN";66373741;JULIA ENECON ROCA MORAN;JOSE ADOLFO ESPINOZA MORATAYA;DIVERSIFICADO;PRIVADO;RURAL;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);GUATEMALA ORIENTE
