CODIGO;DISTRITO;DEPARTAMENTO;MUNICIPIO;ESTABLECIMIENTO;DIRECCION;TELEFONO;SUPERVISOR;DIRECTOR;NIVEL;SECTOR;AREA;STATUS;MODALIDAD;JORNADA;PLAN;DEPARTAMENTAL
22-01-0014-46;22-013;JUTIAPA;JUTIAPA;ESCUELA NACIONAL DE CIENCIAS COMERCIALES;COMPLEJO EDUCATIVO, BARRIO EL CONDOR;78441241;RONY ESMELTZER RAMOS QUIÑONEZ;;DIVERSIFICADO;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);JUTIAPA
22-01-0015-46;;JUTIAPA;JUTIAPA;INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA COLEGIO 'MODERNO JUTIAPANECO';3A. AVENIDA 4-66 ZONA 1;;;;DIVERSIFICADO;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);JUTIAPA
22-01-0017-46;22-003;JUTIAPA;JUTIAPA;COLEGIO TECNICO PROFESIONAL SAN CRISTOBAL;7A. CALLE 5-30 ZONA 1;78441530;SANDRA NINETH BONILLA ARCHILA;DELMY MENDEZ DE MONTEROS;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);JUTIAPA
22-01-0018-46;99-001;JUTIAPA;JUTIAPA;INSTITUTO TECNICO DE CIENCIAS ADMINISTRATIVAS Y COMPUTACION INTECIADCOM;7A. AV. 8-80 ZONA 1 BARRIO LATINO;78442122;SILVIA EUGENIA VALDEZ MONTERROSO DE CARBALLO;;DIVERSIFICADO;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);JUTIAPA
22-01-0019-46;22-001;JUTIAPA;JUTIAPA;INSTITUTO TECNICO PARTICULAR DE DIVERSIFICADO -INTECPADI-;5A. CALLE 5-43, ZONA 1;78442296;CECILIA ISABEL ALDECOA CASASOLA DE CASTRO;;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);JUTIAPA
22-01-0020-46;22-001;JUTIAPA;JUTIAPA;COLEGIO PARTICULAR MIXTO DE MAGISTERIO;1A. AVENIDA 4-64 ZONA 1;78442157;CECILIA ISABEL ALDECOA CASASOLA DE CASTRO;ISRAEL JOSUE VASQUEZ;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);JUTIAPA
22-01-0022-46;22-003;JUTIAPA;JUTIAPA;INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA DE MERCADOTECNIA Y PUBLICIDAD DE ORIENTE;5A. AV. 7-35 ZONA 1;78441530;SANDRA NINETH BONILLA ARCHILA;LUIS ANÍBAL MONTEROS;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;DOBLE;FIN DE SEMANA;JUTIAPA
22-01-0221-46;22-009;JUTIAPA;JUTIAPA;"COLEGIO PARTICULAR MIXTO INTEGRAL ""EVOLUCION""";7A. CALLE 8A. AVENIDA 7-49 ZONA 3 BARRIO EL CHAPARRON;78443090;CARLOS HUMBERTO CRUZ ALAY;MILDRED ESPERANZA VILLANUEVA DE FLORIAN;DIVERSIFICADO;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);JUTIAPA
22-01-0222-46;22-001;JUTIAPA;JUTIAPA;"COLEGIO PARTICULAR MIXTO INTEGRAL ""EVOLUCION""";7A. CALLE 8A. AVENIDA 7-49 ZONA 3 BARRIO EL CHAPARRON;57313172;CECILIA ISABEL ALDECOA CASASOLA DE CASTRO;MILDRED ESPERANZA VILLANUEVA DE FLORIAN;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;DOBLE;FIN DE SEMANA;JUTIAPA
22-01-0254-46;22-001;JUTIAPA;JUTIAPA;"LICEO ""CREZCO APRENDIENDO""";7A. CALLE ENTRE 6A. Y 7A. AVENIDA ZONA 3, BARRIO EL CHAPARRON;78442263;CECILIA ISABEL ALDECOA CASASOLA DE CASTRO;CESAR GEOVANNI RAMOS RAMIREZ;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);JUTIAPA
