CODIGO;DISTRITO;DEPARTAMENTO;MUNICIPIO;ESTABLECIMIENTO;DIRECCION;TELEFONO;SUPERVISOR;DIRECTOR;NIVEL;SECTOR;AREA;STATUS;MODALIDAD;JORNADA;PLAN;DEPARTAMENTAL
17-01-0035-46;17-001;PETEN;FLORES;INSTITUTO PRIVADO DE EDUCACION DIVERSIFICADA DIEGO AMERICO CETINA PACHECO;BARRIO SANTA ELENA;;BARBARA JULIA IVONE LOPEZ VARGAS;;DIVERSIFICADO;PRIVADO;URBANA;TEMPORAL TITULOS;MONOLINGUE;NOCTURNA;DIARIO(REGULAR);PETÉN
17-01-0039-46;17-;PETEN;FLORES;INSTITUTO NOCTURNO DE CIENCIAS COMERCIALES Y ACADEMIA ANEXA;BARRIO SANTA ELENA;;JOSE FRANCISCO OLAN PONCE;;DIVERSIFICADO;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;NOCTURNA;DIARIO(REGULAR);PETÉN
17-01-0064-46;17-001;PETEN;FLORES;INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA;ALDEA IXLU;54823795;BARBARA JULIA IVONE LOPEZ VARGAS;VICENTE AVELAR HERNANDEZ;DIVERSIFICADO;OFICIAL;RURAL;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);PETÉN
17-01-0070-46;17-001;PETEN;FLORES;"CENTRO EDUCATIVO INTEGRAL ""PAULO FREIRE""";ZONA 2;79264648;BARBARA JULIA IVONE LOPEZ VARGAS;EFREN PORTILLO;DIVERSIFICADO;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;MATUTINA;DIARIO(REGULAR);PETÉN
17-01-0078-46;17-001;PETEN;FLORES;CENTRO EDUCATIVO MODELO;COLONIA MODELO DE SANTA ELENA DE LA CRUZ;54506610;BARBARA JULIA IVONE LOPEZ VARGAS;CESAR FRANCISCO SOZA MENDOZA;DIVERSIFICADO;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;DOBLE;FIN DE SEMANA;PETÉN
17-01-0081-46;17-001;PETEN;FLORES;COLEGIO DE EDUCACION MEDIA SAN ISIDRO;ALDEA IXLU;50453676;BARBARA JULIA IVONE LOPEZ VARGAS;RUTILIA SALGUERO CASTRO;DIVERSIFICADO;PRIVADO;RURAL;ABIERTA;MONOLINGUE;DOBLE;FIN DE SEMANA;PETÉN
17-01-0083-46;17-001;PETEN;FLORES;COLEGIO INTEGRADO DE EDUCACION PROFRESIONAL DE PETEN, CIEPP;ALDEA IXLU;78215568;BARBARA JULIA IVONE LOPEZ VARGAS;EVELYN MIGDALIA TORALLA LOPEZ;DIVERSIFICADO;PRIVADO;RURAL;CERRADA TEMPORALMENTE;MONOLINGUE;DOBLE;FIN DE SEMANA;PETÉN
17-01-0085-46;17-001;PETEN;FLORES;LICEO PETENERO EN CIENCIAS ADMINISTRATIVAS, RECURSOS NATURALES Y TURISMO;CALLE LIMITE, FRENTE AL ORGANISMO JUDICIAL, A UN COSTADO DE LOS DERECHOS HUMANOS;79261560;BARBARA JULIA IVONE LOPEZ VARGAS;ERWIN AUGUSTO LOPEZ Y LOPEZ;DIVERSIFICADO;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;MATUTINA;DIARIO(REGULAR);PETÉN
17-01-0086-46;17-001;PETEN;FLORES;LICEO PETENERO EN CIENCIAS ADMINISTRATIVAS, RECURSOS NATURALES Y TURISMO;CALLE LIMITE, FRENTE A ORGANISMO JUDICIAL, A UN COSTADO DE LOS DERECHOS HUMANOS;79261560;BARBARA JULIA IVONE LOPEZ VARGAS;ERWIN AUGUSTO LOPEZ Y LOPEZ;DIVERSIFICADO;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);PETÉN
17-01-0091-46;17-001;PETEN;FLORES;COLEGIO CRISTIANO EL-HASHAMAYIM;7A. AVENIDA 1-65 ZONA 2, SANTA ELENA DE LA CRUZ;79261812;BARBARA JULIA IVONE LOPEZ VARGAS;PROFESORA MARIA AURORA CANO ACOSTA;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);PETÉN
