CODIGO;DISTRITO;DEPARTAMENTO;MUNICIPIO;ESTABLECIMIENTO;DIRECCION;TELEFONO;SUPERVISOR;DIRECTOR;NIVEL;SECTOR;AREA;STATUS;MODALIDAD;JORNADA;PLAN;DEPARTAMENTAL
09-01-0040-46;09-041;QUETZALTENANGO;QUETZALTENANGO;"COLELGIO EVANGELICO ""LA PATRIA""";19 AVENIDA 1-28 ZONA 3;;WILSON RANFERI SIGUENZA LOPEZ;----;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;DOBLE;DIARIO(REGULAR);QUETZALTENANGO
09-01-0098-46;09-006;QUETZALTENANGO;QUETZALTENANGO;"COLEGIO PRIVADO MIXTO ""SUIZO QUETZALTENANGO""";1RA CALLE 43-50 ZONA 8;79267367;MIGDALIA AZUCENA LOARCA CRUZ;MIRNA LETICIA CIFUENTES GODINEZ DE CIFUENTES;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);QUETZALTENANGO
09-01-0125-46;09-005;QUETZALTENANGO;QUETZALTENANGO;INSTITUTO NACIONAL DE BACHILLERATO POR MADUREZ 'JACOBO ARBENZ GUZMAN';"4A. CALLE 25-20; ZONA 3";41514439;JUAN CARLOS RONQUILLO DE LEON;;DIVERSIFICADO;OFICIAL;URBANA;ABIERTA;MONOLINGUE;NOCTURNA;DIARIO(REGULAR);QUETZALTENANGO
09-01-0126-46;09-005;QUETZALTENANGO;QUETZALTENANGO;ESCUELA NACIONAL DE CIENCIAS COMERCIALES 'PROF. ALBERTO CARDENAS RODAS';5A CALLE 12-60 ZONA 3;50171669;JUAN CARLOS RONQUILLO DE LEON;;DIVERSIFICADO;OFICIAL;URBANA;ABIERTA;MONOLINGUE;NOCTURNA;DIARIO(REGULAR);QUETZALTENANGO
09-01-0131-46;09-005;QUETZALTENANGO;QUETZALTENANGO;INSTITUTO NORMAL PARA VARONES DE OCCIDENTE I.N.V.O;7MA. CALLE 29-25 ZONA 3;77611583;JUAN CARLOS RONQUILLO DE LEON;FRANCISCO MIGUEL TIRADO HUINAC;DIVERSIFICADO;OFICIAL;URBANA;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);QUETZALTENANGO
09-01-0132-46;09-005;QUETZALTENANGO;QUETZALTENANGO;INSTITUTO NORMAL PARA SEÑORITAS DE OCCIDENTE;14 AVENIDA A 0-36 ZONA 1;77612303;JUAN CARLOS RONQUILLO DE LEON;;DIVERSIFICADO;OFICIAL;URBANA;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);QUETZALTENANGO
09-01-0134-46;09-036;QUETZALTENANGO;QUETZALTENANGO;INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA 'AMERICANO';AVE. JESUS CASTILLO A-74 ZONA 1;77610735;OBDULIO ROLANDO RUIZ ALVA;;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);QUETZALTENANGO
09-01-0135-46;09-036;QUETZALTENANGO;QUETZALTENANGO;INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA LICEO MODERNO;7A AVE. 6-45 ZONA 1;77614475;OBDULIO ROLANDO RUIZ ALVA;;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);QUETZALTENANGO
09-01-0136-46;09-003;QUETZALTENANGO;QUETZALTENANGO;COLEGIO MIXTO TERESA MARTIN;9A CALLE 10-09 ZONA 1;77612237;PEDRO GERÓNIMO SARAT CHAJ;ANA MARISOL VEGA QUIROA;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);QUETZALTENANGO
09-01-0137-46;09-004;QUETZALTENANGO;QUETZALTENANGO;COLEGIO EVANGELICO 'BETHANIA';CALLE C 0-22 ZONA 1;77630164;DINA RUBI GONZALEZ DE LEON;FERNANDO DAVID RIVERA ESPAÑA;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);QUETZALTENANGO
09-01-0138-46;09-007;QUETZALTENANGO;QUETZALTENANGO;INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA COLEGIO CORAZON DE JESUS;15 AV 0-36 ZONA 1;52194780;GILDARDO HERIBERTO HERNANDEZ LOPEZ;;DIVERSIFICADO;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;MATUTINA;DIARIO(REGULAR);QUETZALTENANGO
09-01-0139-46;09-006;QUETZALTENANGO;QUETZALTENANGO;INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA DE ESTUDIOS AVANZADOS DE OCCIDENTE;AV JESUS CASTILLO 1-81 ZONA 3;77611270;MIGDALIA AZUCENA LOARCA CRUZ;;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);QUETZALTENANGO
09-01-0140-46;09-041;QUETZALTENANGO;QUETZALTENANGO;COLEGIO PARA SEÑORITAS ENCARNACION ROSAL;12 AVE. 3-09 ZONA 1;77615000;WILSON RANFERI SIGUENZA LOPEZ;VICTORINA ANTONIO VICENTE;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);QUETZALTENANGO
09-01-0143-46;09-006;QUETZALTENANGO;QUETZALTENANGO;COLEGIO MIXTO BILINGUE 'SAN PABLO';16 AVENIDA 6-45 ZONA 3;77675901;MIGDALIA AZUCENA LOARCA CRUZ;;DIVERSIFICADO;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;MATUTINA;DIARIO(REGULAR);QUETZALTENANGO
09-01-0144-46;09-036;QUETZALTENANGO;QUETZALTENANGO;"COLEGIO ""MARIA AUXILIADORA""";3A CALLE 16-17 ZONA 3;77630281;OBDULIO ROLANDO RUIZ ALVA;LESVIA OFELIA HERNÁNDEZ GRAMAJO;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);QUETZALTENANGO
09-01-0145-46;09-041;QUETZALTENANGO;QUETZALTENANGO;COLEGIO EVANGELICO LA PATRIA;19 AVENIDA 1-28 ZONA 3;77742400;WILSON RANFERI SIGUENZA LOPEZ;;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);QUETZALTENANGO
