CODIGO;DISTRITO;DEPARTAMENTO;MUNICIPIO;ESTABLECIMIENTO;DIRECCION;TELEFONO;SUPERVISOR;DIRECTOR;NIVEL;SECTOR;AREA;STATUS;MODALIDAD;JORNADA;PLAN;DEPARTAMENTAL
10-01-0078-46;10-019;SUCHITEPEQUEZ;MAZATENANGO;COLEGIO PRIVADO MIXTO LICEO MAZATECO;6A. AVENIDA 2-21 ZONA 1;78720482;REYNA DEL ROSARIO CHAVEZ BARROW DE PACHECO;MARCO TULIO MANCIO MENDEZ;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);SUCHITEPÉQUEZ
10-01-0080-46;10-001;SUCHITEPEQUEZ;MAZATENANGO;INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA REPUBLICA DE GUATEMALA;8A CALLE 2-35 ZONA 1;78720041;RITA ELENA GONZALEZ GARCIA;;DIVERSIFICADO;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);SUCHITEPÉQUEZ
10-01-0081-46;;SUCHITEPEQUEZ;MAZATENANGO;INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA 'REPUBLICA DE GUATEMALA';3A AVE. 6-29 ZONA 1;;;;DIVERSIFICADO;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;NOCTURNA;DIARIO(REGULAR);SUCHITEPÉQUEZ
10-01-0083-46;10-019;SUCHITEPEQUEZ;MAZATENANGO;INSTITUTO PRIVADO MIXTO TECNOLOGICO DEL SUROCCIDENTE;FINCA CHOJOJA;55156239;REYNA DEL ROSARIO CHAVEZ BARROW DE PACHECO;REINA ISABEL HERNANDEZ GOMEZ;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);SUCHITEPÉQUEZ
10-01-0086-46;10-019;SUCHITEPEQUEZ;MAZATENANGO;COLEGIO LATINOAMERICANO GOSPEL;SALIDA A GUATEMALA KM. 150.5;78723282;REYNA DEL ROSARIO CHAVEZ BARROW DE PACHECO;JUAN MIGUEL RODAS MENDEZ;DIVERSIFICADO;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;MATUTINA;DIARIO(REGULAR);SUCHITEPÉQUEZ
10-01-0087-46;10-019;SUCHITEPEQUEZ;MAZATENANGO;INSTITUTO DIV. BACHILLERATO ADSC. AL INSTITUTO RAFAEL LANDIVAR;CANTON SANTA CRISTINA;;REYNA DEL ROSARIO CHAVEZ BARROW DE PACHECO;;DIVERSIFICADO;OFICIAL;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;MATUTINA;DIARIO(REGULAR);SUCHITEPÉQUEZ
10-01-0088-46;10-018;SUCHITEPEQUEZ;MAZATENANGO;ESCUELA NACIONAL DE CIENCIAS COMERCIALES;CANTON SANTA CRISTINA ZONA 2;78721114;JUANA MARIA CIFUENTES PEREZ;.;DIVERSIFICADO;OFICIAL;URBANA;ABIERTA;MONOLINGUE;NOCTURNA;DIARIO(REGULAR);SUCHITEPÉQUEZ
10-01-0089-46;10-019;SUCHITEPEQUEZ;MAZATENANGO;COLEGIO LATINOAMERICANO GOSPEL;SALIDA A GUATEMALA KM. 150.5;78723282;REYNA DEL ROSARIO CHAVEZ BARROW DE PACHECO;JUAN MIGUEL RODAS MENDEZ;DIVERSIFICADO;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;DOBLE;FIN DE SEMANA;SUCHITEPÉQUEZ
10-01-0092-46;10-019;SUCHITEPEQUEZ;MAZATENANGO;INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA RAFAEL LANDIVAR;12 CALLE 4-57 ZONA 1;78722086;REYNA DEL ROSARIO CHAVEZ BARROW DE PACHECO;-;DIVERSIFICADO;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);SUCHITEPÉQUEZ
10-01-0095-46;10-018;SUCHITEPEQUEZ;MAZATENANGO;"COLEGIO PARTICULAR MIXTO ""LA ILUSTRACION""";3A AVE. 4-92 ZONA 1;78720044;JUANA MARIA CIFUENTES PEREZ;ANTONIO ROCHA RAMOS;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);SUCHITEPÉQUEZ
10-01-0096-46;10-018;SUCHITEPEQUEZ;MAZATENANGO;INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA DE CIENCIAS COMERCIALES;7A AVE. 8A CALLE ZONA 1;;JUANA MARIA CIFUENTES PEREZ;.;DIVERSIFICADO;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;NOCTURNA;DIARIO(REGULAR);SUCHITEPÉQUEZ
10-01-0097-46;10-019;SUCHITEPEQUEZ;MAZATENANGO;"COLEGIO PRIVADO MIXTO ""PERPETUO SOCORRO""";1A CALLE 3-39 ZONA 1;78718090;REYNA DEL ROSARIO CHAVEZ BARROW DE PACHECO;MARÍA DEL CARMEN GARCÍA JORGE;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);SUCHITEPÉQUEZ
10-01-0098-46;10-019;SUCHITEPEQUEZ;MAZATENANGO;INSTITUTO DE COMPUTACION INFORMATICA;COLONIA SAN BARTOLOME, 4A. CALLE FINAL;78679993;REYNA DEL ROSARIO CHAVEZ BARROW DE PACHECO;JOSE MARIA RODRIGUEZ TOMAS;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);SUCHITEPÉQUEZ
10-01-0099-46;10-019;SUCHITEPEQUEZ;MAZATENANGO;COLEGIO PRIVADO MIXTO NUESTRA SEÑORA DEL ROSARIO;2A AVE. 4-84 ZONA 1;78724768;REYNA DEL ROSARIO CHAVEZ BARROW DE PACHECO;CARLOS ALBERTO SARDA;DIVERSIFICADO;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);SUCHITEPÉQUEZ
10-01-0100-46;10-018;SUCHITEPEQUEZ;MAZATENANGO;COLEGIO TECNICO SUCHITEPEQUEZ;CALZADA CENTENARIO 1-00 ZONA 2 1ER. GRUPO COLONIA FLOR DEL CAFÉ;78679530;JUANA MARIA CIFUENTES PEREZ;BRENDA LORENY PEREZ MAYORGA;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;DOBLE;FIN DE SEMANA;SUCHITEPÉQUEZ
10-01-0104-46;10-018;SUCHITEPEQUEZ;MAZATENANGO;INSTITUTO PRIVADO MIXTO PROFESIONAL VISION EDUCATIVA 2000;2A. AVE. DEL ESTADIO SUR 2-45 ZONA 2;78679919;JUANA MARIA CIFUENTES PEREZ;LUIS ALBERTO LINARES CHAPETON;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;DOBLE;FIN DE SEMANA;SUCHITEPÉQUEZ
10-01-0105-46;10-018;SUCHITEPEQUEZ;MAZATENANGO;INSTITUTO PRIVADO MIXTO PROFESIONAL VISON EDUCATIVA 2000;2A. AVE. DEL ESTADIO SUR 2-45 ZONA 2;78679919;JUANA MARIA CIFUENTES PEREZ;LUIS ALBERTO LINARES CHAPETON;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;DOBLE;FIN DE SEMANA;SUCHITEPÉQUEZ
10-01-0106-46;10-018;SUCHITEPEQUEZ;MAZATENANGO;"COLEGIO LATINOAMERICANO ""GOSPEL""";12 CALLE 4-45, ZONA 1;78720994;JUANA MARIA CIFUENTES PEREZ;BRENDA LETICIA RAMOS PEREZ;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);SUCHITEPÉQUEZ
10-01-0108-46;10-018;SUCHITEPEQUEZ;MAZATENANGO;CENTRO INTEGRAL EMPRESARIAL POR MADUREZ CIEM;4A. CALLE 2-23 ZONA 1;77650630;JUANA MARIA CIFUENTES PEREZ;EDGAR MISAEL CHUVAC BOJ;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;DOBLE;FIN DE SEMANA;SUCHITEPÉQUEZ
10-01-0143-46;10-019;SUCHITEPEQUEZ;MAZATENANGO;"COLEGIO PRIVADO MIXTO ""NUEVA FAMILIA""";KM 1 CARRETERA A SAN FRANCISCO ZAPOTITLAN;78724064;REYNA DEL ROSARIO CHAVEZ BARROW DE PACHECO;TALINA MAYARIE CALDERÓN ALBERTO;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);SUCHITEPÉQUEZ
10-01-0145-46;10-019;SUCHITEPEQUEZ;MAZATENANGO;"INSTITUTO PRIVADO CRISTIANO ""MESOAMERICANO""";CALZADA CENTENARIO 1-14 ZONA 2;78725640;REYNA DEL ROSARIO CHAVEZ BARROW DE PACHECO;PABLO ZACARIAS BATZ BARRENO;DIVERSIFICADO;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;DOBLE;DIARIO(REGULAR);SUCHITEPÉQUEZ
10-01-0146-46;10-019;SUCHITEPEQUEZ;MAZATENANGO;"ESCUELA PRE-UNIVERSITARIA ""LIC. GOVER ANIBAL PORTILLO FARFAN""";1A. AVENIDA 12-01 ZONA 1;78720212;REYNA DEL ROSARIO CHAVEZ BARROW DE PACHECO;OSCAR GIOVANNI OCHOA BARRIENTOS;DIVERSIFICADO;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;MATUTINA;DIARIO(REGULAR);SUCHITEPÉQUEZ
10-01-0150-46;10-019;SUCHITEPEQUEZ;MAZATENANGO;INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA MAZATENANGO;CANTON SANTA CRISTINA;78718526;REYNA DEL ROSARIO CHAVEZ BARROW DE PACHECO;---;DIVERSIFICADO;OFICIAL;URBANA;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);SUCHITEPÉQUEZ
